,الجنسية,الجنس,المنطقة,حكومي/خاص,المدرسة,النسبة
64,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,67.47
65,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,72.7
66,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,80.68
67,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,77.38
68,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,65.28
69,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.98
70,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,70.63
71,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,93.56
72,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,64.41
73,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,70.54
74,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,70.67
75,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,72.71
76,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,68.69
77,كويتي,بنين,مبارك الكبير,حكــومى,جابر العلي الصباح الثانوية  للبنين,66.06
78,كويتي,بنين,مبارك الكبير,حكــومى,جابر العلي الصباح الثانوية  للبنين,73.64
79,كويتي,بنين,مبارك الكبير,حكــومى,جابر العلي الصباح الثانوية  للبنين,65.15
80,كويتي,بنين,مبارك الكبير,حكــومى,جابر العلي الصباح الثانوية  للبنين,81.71
81,كويتي,بنين,مبارك الكبير,حكــومى,جابر العلي الصباح الثانوية  للبنين,70.67
82,كويتي,بنين,مبارك الكبير,حكــومى,جابر العلي الصباح الثانوية  للبنين,87.03
83,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,88.97
84,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,70.24
85,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,80.57
86,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,80.96
87,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,69.23
88,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,74.41
89,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,86.05
90,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,85.4
91,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,64.09
92,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,78.89
93,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,65.26
94,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,76.45
95,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,67.24
96,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,74.87
97,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,73.81
98,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,85.27
99,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,80.3
100,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,74.74
101,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,80.38
102,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,65.92
103,كويتي,بنين,مبارك الكبير,حكــومى,الامام مالك الثانوية للبنين,72.61
104,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,75.59
105,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,65.93
106,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,78.68
107,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,64.76
